Page_Category,Page_Popularity_Likes,Page_Checkins,Page_Talking_About,CC1_Min,CC1_Max,CC1_Avg,CC1_Median,CC1_Std,CC2_Min,CC2_Max,CC2_Avg,CC2_Median,CC2_Std,CC3_Min,CC3_Max,CC3_Avg,CC3_Median,CC3_Std,CC4_Min,CC4_Max,CC4_Avg,CC4_Median,CC4_Std,CC5_Min,CC5_Max,CC5_Avg,CC5_Median,CC5_Std,CC1,CC2,CC3,CC4,CC5,Base_Time,Post_Length,Post_Share_Count,Post_Promotion_Status,H_Local,Post_Published_Weekday_40,Post_Published_Weekday_41,Post_Published_Weekday_42,Post_Published_Weekday_43,Post_Published_Weekday_44,Post_Published_Weekday_45,Post_Published_Weekday_46,Base_DateTime_Weekday_47,Base_DateTime_Weekday_48,Base_DateTime_Weekday_49,Base_DateTime_Weekday_50,Base_DateTime_Weekday_51,Base_DateTime_Weekday_52,Base_DateTime_Weekday_53,Target_Variable,Category,CC2_per_hr,CC3_per_hr,CC4_per_hr,CC1_logNorm,CC2_logNorm,CC3_logNorm,CC4_logNorm,Page_Popularity_Likes_logNorm,Page_Checkins_logNorm,Page_Talking_About_logNorm,Post_Length_logNorm,Post_Share_Count_logNorm,CC2_per_hr_logNorm,CC3_per_hr_logNorm,CC4_per_hr_logNorm
4,319720,65,11739,0,72,2.0459770114942533,0,8.91454712715291,0,55,1.6091954022988506,0,7.4515389474896985,0,17,0.43678160919540227,0,1.9160612702588387,0,71,2,0,8.823948603970743,-3,44,1.1724137931034482,0,6.238933921148183,0,0,0,0,0,11,15,1,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Athlete,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402558461545583,-0.22700763366048501,-0.40363419387668137,-0.4283612552388256,-0.12224973435871096,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
4,1366971,0,69715,0,107,43.160000000000004,35,26.80250734539588,0,76,20.28,16,18.664447487134467,0,91,11.56,0,19.43003860006459,0,96,40.52,35,23.32915772161524,-75,76,8.72,1,30.27675015585391,32,32,0,32,32,1,74,19,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,Athlete,32,0,32,-0.3810576061583191,-0.2453584543199832,-0.2715433324645413,-0.38352059051634557,-0.19402537004204967,-0.22721127751447415,-0.40361813026110116,-0.4242487950928775,-0.11983703222849847,0.1320199326403461,-0.26232014383079266,0.0675485062708332
4,800389,0,100921,0,175,39.142857142857146,25,42.92261665378945,0,162,22.114285714285714,14,32.44667839356612,0,147,12.885714285714286,0,29.04850271879915,0,164,38.142857142857146,25,41.47229220103663,-119,162,9.22857142857143,0,43.97927155525217,85,35,50,77,-15,30,118,2094,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,Athlete,1.1666666666666667,1.6666666666666667,2.566666666666667,-0.37409272088556034,-0.24419299456961685,-0.21813976771488913,-0.37682299824578586,-0.19402544909151062,-0.22721127751447415,-0.40361479461017385,-0.42301994024889344,-0.11496300229300734,-0.12497866615842639,0.24851429219944102,-0.13875314525880367
4,396102,0,48408,0,569,155,113.5,192.93003913336045,0,569,123.33333333333331,28.5,202.95949240071417,0,101,31.66666666666667,0,44.917207788948275,0,569,148.16666666666666,103,194.2742191393964,-68,569,91.66666666666669,0,221.80672267138843,0,0,0,0,0,0,13,2,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,111,Athlete,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402555297738205,-0.22721127751447415,-0.40362141925672623,-0.4287167104441904,-0.12182487860287552,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
4,5753035,7,50942,11,11,11,11,0,11,11,11,11,0,0,0,0,0,0,11,11,11,11,0,11,11,11,11,0,11,11,0,11,11,18,68,15,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,Athlete,0.6111111111111112,0,0.6111111111111112,-0.38841341322684214,-0.25890817835360813,-0.2715433324645413,-0.3913969919131648,-0.19402515779838325,-0.22711020343659252,-0.4036209591811154,-0.42447075358777925,-0.12007084722332194,-0.15293717440340107,-0.26232014383079266,-0.2124423922620435
5,798622,0,34668,0,977,30.4795918367347,3,112.4181543178928,0,977,27.071428571428573,2,109.86589692039313,0,197,3.2653061224489797,0,20.390349368151313,0,977,30.09183673469388,3,112.04309363508438,-115,977,23.806122448979593,1,111.03167944360132,6,6,0,6,6,16,896,111,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Education website,0.375,0,0.375,-0.39233270019488203,-0.26612767939962806,-0.2715433324645413,-0.3955936595340031,-0.19402544941791314,-0.22721127751447415,-0.4036244295802491,-0.4176429613908496,-0.11803187738194114,-0.1678919686902391,-0.26232014383079266,-0.2271365556510032
5,798622,0,34668,0,977,30.4795918367347,3,112.4181543178928,0,977,27.071428571428573,2,109.86589692039313,0,197,3.2653061224489797,0,20.390349368151313,0,977,30.09183673469388,3,112.04309363508438,-115,977,23.806122448979593,1,111.03167944360132,300,300,0,300,300,4,0,11,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,74,Education website,75,0,75,-0.36498331559296104,-0.21574889561786353,-0.2715433324645413,-0.366308670263075,-0.19402544941791314,-0.22721127751447415,-0.4036244295802491,-0.43574177508727174,-0.12037228717928283,0.21074554674910945,-0.26232014383079266,0.1449020969938088
9,1340759,33935,49392,0,768,77.2,36.5,132.86143157440384,0,275,28.6,14,45.46691104528655,0,716,47.825,0,124.05057184471175,0,744,76,36.5,129.4776042410424,-664,275,-19.225,5,131.03653832042423,0,0,0,0,0,0,150,23,0,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,35,Professional sports team,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402537290146235,-0.22670420473755495,-0.40362123780252274,-0.4223859776248529,-0.11964599146748649,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
9,4349418,0,614043,0,958,65.97419354838709,24,126.96074823382055,0,787,61.09677419354839,22,112.51716853618662,0,371,4.877419354838709,0,33.678237537953954,0,912,65.58709677419355,24,124.84420159629536,-126,787,56.21935483870968,21,107.09641546772411,19,19,0,19,19,13,148,21,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Professional sports team,1.4615384615384615,0,1.4615384615384615,-0.3846989694272157,-0.2520660075415544,-0.2715433324645413,-0.3874196648762747,-0.1940251991039566,-0.22721127751447415,-0.4035985119596019,-0.4224214709486347,-0.11973716400884202,-0.11293741132810464,-0.26232014383079266,-0.1731397416956372
9,891159,0,106158,0,135,23.98,11,28.59614659355347,0,98,15.02,8,22.080298911020204,0,79,8.74,0,17.152037779809138,0,135,23.68,11,28.295893695022258,-70,98,6.28,5.5,27.29398468527452,9,9,0,9,9,19,167,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Professional sports team,0.47368421052631576,0,0.47368421052631576,-0.38973915560283895,-0.26135025482014673,-0.2715433324645413,-0.3928165613777864,-0.19402543322637997,-0.22721127751447415,-0.40361433842627925,-0.4221019887210635,-0.1199474314234474,-0.16135103678681448,-0.26232014383079266,-0.22070961855902518
9,2900008,46,1125038,0,2092,71.98522167487685,26,202.1181549244748,0,2092,71.98522167487685,26,202.1181549244748,0,0,0,0,0,0,2092,71.98522167487685,26,202.1181549244748,0,2092,71.98522167487685,26,202.1181549244748,45,45,0,45,45,10,61,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Professional sports team,4.5,0,4.5,-0.3786425110519877,-0.24090974163612566,-0.2715433324645413,-0.38093457129483016,-0.1940252589652177,-0.2270241358657425,-0.4035930519456319,-0.424755509074683,-0.12007084722332194,-0.03706782289475531,-0.26232014383079266,-0.09859240207265389
9,2900008,46,1125038,0,2092,71.98522167487685,26,202.1181549244748,0,2092,71.98522167487685,26,202.1181549244748,0,0,0,0,0,0,2092,71.98522167487685,26,202.1181549244748,0,2092,71.98522167487685,26,202.1181549244748,2092,2092,0,2092,2092,8,36,206,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,572,Professional sports team,261.5,0,261.5,-0.35088220064828657,-0.18977401423681536,-0.2715433324645413,-0.35120957367009686,-0.1940252589652177,-0.2270241358657425,-0.4035930519456319,-0.426129656596127,-0.11738828348451445,0.3277184309431887,-0.26232014383079266,0.2598363875937423
9,22042113,0,1207173,0,59,22.647058823529413,20,13.49919900225277,0,40,18.176470588235293,17,11.69331279038754,0,58,4.470588235294119,0,14.034066313832144,0,59,22.647058823529413,20,13.49919900225277,-57,40,13.705882352941178,17,22.026093365082602,29,29,0,29,29,7,175,33,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,Professional sports team,4.142857142857143,0,4.142857142857143,-0.38175064951782295,-0.24663507103615542,-0.2715433324645413,-0.3842626828026171,-0.19402495942277845,-0.22721127751447415,-0.4035924165492882,-0.42197815430740193,-0.11928102762498394,-0.04340373696133316,-0.26232014383079266,-0.10481789436141395
9,4526533,0,111134,0,2489,106.20481927710844,22,338.11688857290216,0,1933,82.75903614457832,17,263.34047732291623,0,859,22.313253012048193,0,111.4000635624014,0,2447,104.36144578313252,22,330.98424154652224,-369,1377,60.44578313253012,17,221.66811472250055,12,2,10,12,-8,27,84,7,0,23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Professional sports team,0.07407407407407407,0.37037037037037035,0.4444444444444444,-0.3878313865520028,-0.27747667291079287,-0.23897419857468374,-0.3907737733224668,-0.19402519320918762,-0.22721127751447415,-0.4036139253658561,-0.423915615832118,-0.12079714293511827,-0.19120078414301872,-0.09821997219553413,-0.2225678973139832
9,4349418,0,614043,0,958,65.97419354838709,24,126.96074823382055,0,787,61.09677419354839,22,112.51716853618662,0,371,4.877419354838709,0,33.678237537953954,0,912,65.58709677419355,24,124.84420159629536,-126,787,56.21935483870968,21,107.09641546772411,24,24,0,24,24,5,102,1,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,Professional sports team,4.8,0,4.8,-0.3830763918938197,-0.24907714750269397,-0.2715433324645413,-0.38568225226723873,-0.1940251991039566,-0.22721127751447415,-0.4035985119596019,-0.42340431262289147,-0.12224973435871096,-0.032055866037027196,-0.26232014383079266,-0.09366779317778653
9,309999,28,43647,0,97,38.93333333333333,29,28.31364021496039,0,97,35,28,27.131777187153318,0,47,3.933333333333333,0,11.890986315506193,0,97,38.86666666666667,29,28.229692799525033,-19,97,31.066666666666666,23,30.877104066857626,60,60,0,60,60,6,167,46,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,Professional sports team,10,0,10,-0.37659027132306766,-0.23712942470846993,-0.2715433324645413,-0.3787370879028794,-0.19402558917546855,-0.22704760553132444,-0.40362235279910674,-0.4221019887210635,-0.11894175600674206,0.028344250002986574,-0.26232014383079266,-0.03432032528347923
9,952756,8,443107,0,2369,83.03738317757009,18,238.54566855358243,0,2369,81.04672897196262,17.5,237.0719608870545,0,218,1.9906542056074767,0,17.328462528184854,0,2369,82.99065420560747,18,238.47290625029055,-163,2369,79.05607476635514,17,236.86017926019557,0,0,0,0,0,0,36,15,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28,Professional sports team,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402542335566508,-0.2271044784323159,-0.4036014538711184,-0.426129656596127,-0.12007084722332194,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
9,1128745,0,52663,0,577,49.63725490196079,16,101.99363582757104,0,577,44.15686274509804,13,100.85883603256536,0,169,5.480392156862745,0,20.08888600750882,0,577,49.27450980392157,16,101.71212325439171,-103,577,38.676470588235304,12,103.67947986176436,0,0,0,0,0,0,142,1,0,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,241,Professional sports team,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.19402539832252405,-0.22721127751447415,-0.40362065958461496,-0.4225308819589184,-0.12224973435871096,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
9,948263,0,69638,0,189,25.32352941176471,10.5,39.53756262254273,0,149,16.529411764705884,4.5,30.53757116398021,0,82,5.5,0,15.690480441037753,0,183,24.794117647058826,10.5,38.66810466442725,-38,149,11.029411764705882,4,28.73457160871434,7,7,0,7,7,13,117,4,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,Professional sports team,0.5384615384615384,0,0.5384615384615384,-0.39136173313623496,-0.26433911485900713,-0.2715433324645413,-0.39455397398682235,-0.19402542405376744,-0.22721127751447415,-0.4036181402260077,-0.4230424041783755,-0.12128962365209116,-0.1572915002152432,-0.26232014383079266,-0.2167208312496186
9,952756,8,443107,0,2369,83.03738317757009,18,238.54566855358243,0,2369,81.04672897196262,17.5,237.0719608870545,0,218,1.9906542056074767,0,17.328462528184854,0,2369,82.99065420560747,18,238.47290625029055,-163,2369,79.05607476635514,17,236.86017926019557,764,764,0,764,764,2,56,31,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,402,Professional sports team,382,0,382,-0.35820075590258665,-0.20325511877053062,-0.2715433324645413,-0.35904608682095646,-0.19402542335566508,-0.2271044784323159,-0.4036014538711184,-0.4249793349564352,-0.11934455151152559,0.36336977479495075,-0.26232014383079266,0.2948664028213567
9,72606193,150,2333976,0,1653,118.0625,34,264.4020302375721,0,1653,118.0625,34,264.4020302375721,0,0,0,0,0,0,1653,118.0625,34,264.4020302375721,0,1653,118.0625,34,264.4020302375721,25,25,0,25,25,14,94,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Professional sports team,1.7857142857142858,0,1.7857142857142858,-0.38279120037637954,-0.24855181203344534,-0.2715433324645413,-0.3853768768209551,-0.19402478336720333,-0.22696740581968702,-0.4035864715397542,-0.42361953765759386,-0.12224973435871096,-0.10126220569517379,-0.26232014383079266,-0.16166801056517427
9,879585,11,49540,0,667,118.22222222222224,54,164.29091932556562,0,667,111.25925925925924,37,167.6518863802573,0,52,5.296296296296298,0,14.754320936003085,0,667,118.03703703703704,54,164.35518932448562,-50,667,105.96296296296296,37,171.69319783792673,37,37,0,37,37,13,36,75,0,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,Professional sports team,2.8461538461538463,0,2.8461538461538463,-0.38003175995917354,-0.24346879995984566,-0.2715433324645413,-0.3824221418538667,-0.19402543515702386,-0.22709049525480726,-0.40362121082379365,-0.426129656596127,-0.11843818710987884,-0.070821443306898,-0.26232014383079266,-0.13175776722525068
9,4349418,0,614043,0,958,65.97419354838709,24,126.96074823382055,0,787,61.09677419354839,22,112.51716853618662,0,371,4.877419354838709,0,33.678237537953954,0,912,65.58709677419355,24,124.84420159629536,-126,787,56.21935483870968,21,107.09641546772411,47,47,0,47,47,7,89,36,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Professional sports team,6.714285714285714,0,6.714285714285714,-0.37833304087559577,-0.24033968379642345,-0.2715433324645413,-0.3806031989101414,-0.1940251991039566,-0.22721127751447415,-0.4035985119596019,-0.42376346242960733,-0.11919242643024797,-0.0051401272217155,-0.26232014383079266,-0.06722113959627617
9,1947049,2697,42688,0,95,25.88235294117647,26,21.28485336334178,0,54,15.47058823529412,13,14.453241635412668,0,82,9.058823529411764,0,18.999908941686733,0,92,25.35294117647059,23.5,20.80000332712244,-69,54,6.411764705882353,5.5,26.605083157678525,7,7,0,7,7,3,178,4,0,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,Professional sports team,2.3333333333333335,0,2.3333333333333335,-0.39136173313623496,-0.26433911485900713,-0.2715433324645413,-0.39455397398682235,-0.19402531780301624,-0.22682727436330072,-0.4036225531284334,-0.4219331623657185,-0.12128962365209116,-0.08432582315360009,-0.26232014383079266,-0.1450267938750296
9,4290409,11,131422,0,937,126.38095238095238,64,167.50564345588228,0,937,110.38095238095238,47,169.54012762553722,0,82,11.714285714285715,0,24.8164234990348,0,937,124.77777777777776,64,166.89540916817015,-67,937,98.66666666666669,45,177.08539774707032,412,412,0,412,412,2,186,17,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,179,Professional sports team,206,0,206,-0.3626830840213625,-0.21151176667766014,-0.2715433324645413,-0.36384564384125995,-0.19402520112134095,-0.22709049525480726,-0.4036124133912345,-0.4218167739984396,-0.1199474314234474,0.3053025864817027,-0.26232014383079266,0.23781120458547592
9,72606193,150,2333976,0,1653,118.0625,34,264.4020302375721,0,1653,118.0625,34,264.4020302375721,0,0,0,0,0,0,1653,118.0625,34,264.4020302375721,0,1653,118.0625,34,264.4020302375721,38,38,0,38,38,15,94,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Professional sports team,2.533333333333333,0,2.533333333333333,-0.37984288046698683,-0.24312087552804637,-0.2715433324645413,-0.38221989474729756,-0.19402478336720333,-0.22696740581968702,-0.4035864715397542,-0.42361953765759386,-0.12152343864691462,-0.07882700533716133,-0.26232014383079266,-0.13962380899331928
9,2508979,0,63476,5,215,44.625,29.5,53.90022611269826,0,170,36.875,12,48.08959736782998,0,45,7.4375,0,13.638038486160685,5,215,44.125,27.5,54.09352433517343,-33,130,29.4375,12,45.50545125311911,5,5,0,5,5,14,199,21,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Professional sports team,0.35714285714285715,0,0.35714285714285715,-0.3934535994024654,-0.2681924256322005,-0.2715433324645413,-0.3967938884146765,-0.19402528035566888,-0.22721127751447415,-0.40361897564999794,-0.4216378670054467,-0.11973716400884202,-0.16912557675558265,-0.26232014383079266,-0.22834866449866892
9,5970921,53096,234501,0,454,88.22857142857143,44,106.9403266751498,0,454,81.2,40,105.61055142090952,0,119,7.0285714285714285,0,22.55847729699821,0,454,87.82857142857142,43,106.68230157522734,-26,454,74.17142857142858,37,109.03537714607933,48,48,0,48,48,4,464,119,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,Professional sports team,12,0,12,-0.37818310872665956,-0.2400635021044719,-0.2715433324645413,-0.38044265557664875,-0.194025152308364,-0.22668244639195506,-0.4036071920049125,-0.4193919181401455,-0.11795958504907035,0.04410908937667502,-0.26232014383079266,-0.01883023420535829
9,2900008,46,1125038,0,2092,71.98522167487685,26,202.1181549244748,0,2092,71.98522167487685,26,202.1181549244748,0,0,0,0,0,0,2092,71.98522167487685,26,202.1181549244748,0,2092,71.98522167487685,26,202.1181549244748,0,0,0,0,0,0,107,21,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,71,Professional sports team,0,0,0,-0.40648229166310457,-0.2921918566947842,-0.2715433324645413,-0.41074466349135746,-0.1940252589652177,-0.2270241358657425,-0.4035930519456319,-0.4232781297663372,-0.11973716400884202,-0.1979443432200695,-0.26232014383079266,-0.2566651799234344
9,1433518,25951,101466,0,1159,167,106,223.25913195208835,0,1159,140.64000000000001,76,228.58081809285747,0,246,26.36,0,60.0625540582483,0,1159,166.32,106,223.28523820440975,-228,1159,114.28,69,248.73431930475536,320,320,0,320,320,8,5683,555,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,153,Professional sports team,40,0,40,-0.36451553686980925,-0.21488722638857788,-0.2715433324645413,-0.36580778532222313,-0.19402536302192458,-0.2267172423098583,-0.4036147460460382,-0.4127280395116309,-0.11635298227326468,0.15250423905945173,-0.26232014383079266,0.0876758139193757
9,4290409,11,131422,0,937,126.38095238095238,64,167.50564345588228,0,937,110.38095238095238,47,169.54012762553722,0,82,11.714285714285715,0,24.8164234990348,0,937,124.77777777777776,64,166.89540916817015,-67,937,98.66666666666669,45,177.08539774707032,93,27,66,89,-39,29,148,70,0,24,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,Professional sports team,0.9310344827586207,2.2758620689655173,3.0689655172413794,-0.3734459435459849,-0.24755918484244335,-0.21443358357762426,-0.37570880422744785,-0.19402520112134095,-0.22709049525480726,-0.4036124133912345,-0.4224214709486347,-0.11850949510897914,-0.1358438267045068,0.35567372773507816,-0.12653594490156134
